Year,Cause Name,State,Deaths,Age-adjusted Death Rate,Population
2017,suicide,Montana,311,28.9,1050493
2017,suicide,Nebraska,275,14.7,1920076
2017,suicide,Nevada,627,20.3,2998039
2017,suicide,New Hampshire,265,18.9,1342795
2017,suicide,New Jersey,795,8.3,9005644
2017,suicide,New Mexico,491,23.3,2088070
2017,suicide,New York,1696,8.1,19849399
2017,suicide,North Carolina,1521,14.3,10273419
2017,suicide,North Dakota,154,20.1,755393
2017,suicide,Ohio,1740,14.8,11658609
2017,suicide,Oklahoma,756,19.1,3930864
2017,suicide,Oregon,825,19.0,4142776
2017,suicide,Pennsylvania,2030,15.0,12805537
2017,suicide,Rhode Island,129,11.8,1059639
2017,suicide,South Carolina,838,16.3,5024369
2017,suicide,South Dakota,191,22.5,869666
2017,suicide,Tennessee,1166,16.8,6715984
2017,suicide,Texas,3778,13.4,28304596
2017,suicide,Utah,663,22.7,3101833
2017,suicide,Vermont,112,18.3,623657
2017,suicide,Virginia,1179,13.4,8470020
2017,suicide,Washington,1297,16.9,7405743
2017,suicide,West Virginia,393,21.1,1815857
2017,suicide,Wisconsin,926,15.4,5795483
2017,suicide,Wyoming,157,26.9,579315
2017,cancer,United States,599108,152.5,329791231
2017,cancer,Alabama,10410,170.0,4874747
2017,cancer,Alaska,926,139.2,739795
2017,cancer,Arizona,12008,135.8,7016270
2017,cancer,Arkansas,6517,173.6,3004279
2017,cancer,California,59516,136.8,39536653
2017,cancer,Colorado,7829,131.0,5607154
2017,cancer,Connecticut,6608,139.6,3588184
2017,cancer,Delaware,2085,160.4,961939
2017,cancer,District of Columbia,1031,152.8,693972
2017,cancer,Florida,45131,145.9,20984400
2017,cancer,Georgia,17135,154.9,10429379
2017,cancer,Hawaii,2456,128.6,1427538
2017,cancer,Idaho,3020,153.2,1716943
2017,cancer,Illinois,24150,157.9,12802023
2017,cancer,Indiana,13462,170.0,6666818
2017,cancer,Iowa,6449,158.0,3145711
2017,cancer,Kansas,5494,157.2,2913123
2017,cancer,Kentucky,10145,185.7,4454189
2017,cancer,Louisiana,9513,174.9,4684333
2017,cancer,Maine,3391,170.8,1335907
