State,Year,Spending
Great Lakes,2011,343926.0
Illinois,2011,93941.0
Indiana,2011,46300.0
Michigan,2011,72587.0
Ohio,2011,86452.0
Wisconsin,2011,44646.0
Plains,2011,155601.0
Iowa,2011,22419.0
Kansas,2011,20291.0
Minnesota,2011,42841.0
Missouri,2011,43673.0
Nebraska,2011,13954.0
North Dakota,2011,5706.0
South Dakota,2011,6717.0
Southeast,2011,539737.0
Alabama,2011,31262.0
Arkansas,2011,19237.0
Florida,2011,140543.0
Georgia,2011,55843.0
Kentucky,2011,31022.0
Louisiana,2011,32600.0
Mississippi,2011,20064.0
North Carolina,2011,64760.0
South Carolina,2011,31018.0
Tennessee,2011,43128.0
Virginia,2011,55019.0
West Virginia,2011,15242.0
Southwest,2011,239685.0
Arizona,2011,39329.0
New Mexico,2011,13554.0
Oklahoma,2011,26284.0
Texas,2011,160518.0
Rocky Mountains,2011,66870.0
Colorado,2011,31042.0
Idaho,2011,9588.0
Montana,2011,7132.0
Utah,2011,14862.0
Wyoming,2011,4246.0
Far West,2011,360567.0
Alaska,2011,6749.0
California,2011,253703.0
Hawaii,2011,8913.0
Nevada,2011,16206.0
Oregon,2011,27057.0
Washington,2011,47939.0
United States,2012,2346962.0
New England,2012,138405.0
Connecticut,2012,33181.0
Maine,2012,11625.0
Massachusetts,2012,66322.0
New Hampshire,2012,11869.0
Rhode Island,2012,9346.0
Vermont,2012,6062.0
Mideast,2012,424773.0
Delaware,2012,8648.0
District of Columbia,2012,7264.0
Maryland,2012,47757.0
New Jersey,2012,73747.0
New York,2012,177831.0
Pennsylvania,2012,109526.0
Great Lakes,2012,357464.0
Illinois,2012,96681.0
Indiana,2012,49815.0
Michigan,2012,75017.0
Ohio,2012,90723.0
Wisconsin,2012,45228.0
Plains,2012,161775.0
Iowa,2012,23222.0
Kansas,2012,21313.0
Minnesota,2012,44323.0
Missouri,2012,45426.0
Nebraska,2012,14504.0
North Dakota,2012,5939.0
South Dakota,2012,7048.0
Southeast,2012,564720.0
Alabama,2012,32740.0
Arkansas,2012,19999.0
Florida,2012,146874.0
Georgia,2012,59233.0
Kentucky,2012,31808.0
Louisiana,2012,33464.0
Mississippi,2012,21518.0
North Carolina,2012,67949.0
South Carolina,2012,32017.0
Tennessee,2012,45261.0
Virginia,2012,57677.0
West Virginia,2012,16182.0
Southwest,2012,251069.0
Arizona,2012,40692.0
New Mexico,2012,13944.0
Oklahoma,2012,27547.0
Texas,2012,168887.0
Rocky Mountains,2012,69921.0
Colorado,2012,32311.0
Idaho,2012,10027.0
Montana,2012,7492.0
Utah,2012,15623.0
Wyoming,2012,4469.0
Far West,2012,378834.0
Alaska,2012,7257.0
California,2012,267048.0
Hawaii,2012,9401.0
Nevada,2012,16623.0
Oregon,2012,27922.0
Washington,2012,50584.0
United States,2013,2405667.0
New England,2013,141505.0
Connecticut,2013,33944.0
Maine,2013,11709.0
Massachusetts,2013,67722.0
New Hampshire,2013,12193.0
Rhode Island,2013,9517.0
Vermont,2013,6421.0
Mideast,2013,437249.0
Delaware,2013,9026.0
District of Columbia,2013,7547.0
Maryland,2013,48689.0
New Jersey,2013,75593.0
New York,2013,183912.0
Pennsylvania,2013,112482.0
Great Lakes,2013,364541.0
Illinois,2013,99230.0
Indiana,2013,50242.0
Michigan,2013,76272.0
Ohio,2013,92985.0
Wisconsin,2013,45811.0
Plains,2013,165072.0
Iowa,2013,23632.0
Kansas,2013,20954.0
Minnesota,2013,46204.0
Missouri,2013,45879.0
Nebraska,2013,14793.0
North Dakota,2013,6300.0
South Dakota,2013,7310.0
Southeast,2013,576965.0
Alabama,2013,33670.0
Arkansas,2013,20188.0
Florida,2013,148646.0
Georgia,2013,62134.0
Kentucky,2013,33048.0
Louisiana,2013,34518.0
Mississippi,2013,21536.0
North Carolina,2013,68073.0
South Carolina,2013,32974.0
Tennessee,2013,46311.0
